Printer_Name,Consumable_Sku
Brother HL-4040CN,"CPT/TN110BK,CPT/TN115BK,CPT/TN110C,CPT/TN110Y,CPT/TN110M,CPT/TN115C,CPT/TN115Y,CPT/TN115M"
Brother MFC-9840CDW,"CPT/TN110BK,CPT/TN115BK,CPT/TN110C,CPT/TN110Y,CPT/TN110M,CPT/TN115C,CPT/TN115Y,CPT/TN115M"
Brother DCP-9040CN,"CPT/TN110BK,CPT/TN115BK,CPT/TN110C,CPT/TN110Y,CPT/TN110M,CPT/TN115C,CPT/TN115Y,CPT/TN115M"
Brother DCP-9045CDN,"CPT/TN110BK,CPT/TN115BK,CPT/TN110C,CPT/TN110Y,CPT/TN110M,CPT/TN115C,CPT/TN115Y,CPT/TN115M"
Brother HL-4040CDN,"CPT/TN110BK,CPT/TN115BK,CPT/TN110C,CPT/TN110Y,CPT/TN110M,CPT/TN115C,CPT/TN115Y,CPT/TN115M"
Brother MFC-9450CDN,"CPT/TN110BK,CPT/TN115BK,CPT/TN110C,CPT/TN110Y,CPT/TN110M,CPT/TN115C,CPT/TN115Y,CPT/TN115M"
Brother HL-3040CN,"CPT/TN210BK,CPT/TN210C,CPT/TN210Y,CPT/TN210M"
Brother HL-3070CW,"CPT/TN210BK,CPT/TN210C,CPT/TN210Y,CPT/TN210M"
Brother MFC-9010CN,"CPT/TN210BK,CPT/TN210C,CPT/TN210Y,CPT/TN210M"
Brother MFC-9120CN,"CPT/TN210BK,CPT/TN210C,CPT/TN210Y,CPT/TN210M"
Brother MFC-9320CW,"CPT/TN210BK,CPT/TN210BK,CPT/TN210C,CPT/TN210C,CPT/TN210Y,CPT/TN210Y,CPT/TN210M,CPT/TN210M"
Brother HL-3045CN,"CPT/TN210BK,CPT/TN210C,CPT/TN210Y,CPT/TN210M"
Brother HL-3075CW,"CPT/TN210BK,CPT/TN210C,CPT/TN210Y,CPT/TN210M"
Brother MFC-9125CN,"CPT/TN210BK,CPT/TN210C,CPT/TN210Y,CPT/TN210M"
Brother MFC-9325CW,"CPT/TN210BK,CPT/TN210C,CPT/TN210Y,CPT/TN210M"
Brother HL-3140CW,"CPT/DR221CL,CPT/TN221BK,CPT/TN225C,CPT/TN225Y,CPT/TN225M"
Brother HL-3170CDW,"CPT/DR221CL,CPT/TN221BK,CPT/TN225C,CPT/TN225Y,CPT/TN225M"
Brother MFC-9130CW,"CPT/DR221CL,CPT/TN221BK,CPT/TN225C,CPT/TN225Y,CPT/TN225M"
Brother MFC-9330CDW,"CPT/DR221CL,CPT/TN221BK,CPT/TN225C,CPT/TN225Y,CPT/TN225M"
Brother MFC-9340CDW,"CPT/DR221CL,CPT/TN221BK,CPT/TN225C,CPT/TN225Y,CPT/TN225M"
Brother HL-3180CDW,"CPT/DR221CL,CPT/TN221BK,CPT/TN225C,CPT/TN225Y,CPT/TN225M"
Brother HL-L3210CW,"CPT/DR223,CPT/TN227BK,CPT/TN227C,CPT/TN227M,CPT/TN227Y"
Brother HL-L3230CDW,"CPT/DR223,CPT/TN227BK,CPT/TN227C,CPT/TN227M,CPT/TN227Y"
Brother HL-L3270CDW,"CPT/DR223,CPT/TN227BK,CPT/TN227C,CPT/TN227M,CPT/TN227Y"
Brother HL-L3290CDW,"CPT/DR223,CPT/TN227BK,CPT/TN227C,CPT/TN227M,CPT/TN227Y"
Brother MFC-L3710CW,"CPT/DR223,CPT/TN227BK,CPT/TN227C,CPT/TN227M,CPT/TN227Y"
Brother MFC-L3750CDW,"CPT/DR223,CPT/TN227BK,CPT/TN227C,CPT/TN227M,CPT/TN227Y"
Brother MFC-L3770CDW,"CPT/DR223,CPT/TN227BK,CPT/TN227C,CPT/TN227M,CPT/TN227Y"
Brother HL-4150CDN,"CPT/TN310BK,CPT/TN310C,CPT/TN310Y,CPT/TN310M,CPT/TN315BK,CPT/TN315C,CPT/TN315Y,CPT/TN315M"
Brother MFC-9460CDN,"CPT/TN310BK,CPT/TN310C,CPT/TN310Y,CPT/TN310M,CPT/TN315BK,CPT/TN315C,CPT/TN315Y,CPT/TN315M"
Brother MFC-9970CDW,"CPT/TN310BK,CPT/TN310C,CPT/TN310Y,CPT/TN310M,CPT/TN315BK,CPT/TN315C,CPT/TN315Y,CPT/TN315M"
Brother MFC-9560CDW,"CPT/TN310BK,CPT/TN310C,CPT/TN310Y,CPT/TN310M,CPT/TN315BK,CPT/TN315C,CPT/TN315Y,CPT/TN315M"
